ts_code,concept,business,q_np_change
000408.SZ,"小金属,其他化学原料,锂电池",氯化钾的生产和销售及贸易业务,203.20%
600275.SH,"养殖,水产养殖","淡水鱼类及其它水产品养殖、畜禽养殖(屠宰)、蔬菜种植及以上产品的加工、储运、销售;食品、饲料、渔需品的生产、销售;经营本企业自产水产品、蔬菜、牲猪(对港、澳地区除外)的出口业务;房地产项目开发,经营、销售商品房。",36.80%
002447.SZ,"区块链,国产芯片,网络安全,游戏娱乐,海洋经济,网络游戏,电子竞技,国产软件",移动游戏业务,-82.40%
600078.SH,"长江三角,壳资源,化工原料,磷化工","精细磷化工系列产品的生产与销售,产品销售采取纯市场化运作,主要通过直销与经销两种模式销售,并注重为客户提供差异化和个性化服务。",-64.50%
300530.SZ,"充电桩,新能源车,创业板综,其他化学制品,锂电池",新型环保表面工程化学品的研发、生产及销售,-494.00%
002077.SZ,"国产芯片,半导体,军民融合,长江三角,房地产开发,太阳能,节能环保,锂电池",主要从事镇江新区内的工业园区开发、市政道路建设、仓储物流、工业标准厂房建设与租赁和铜排生产等业务。,198.10%
000564.SZ,"创投,抖音小店,新零售,一带一路,冷链物流,电商概念,免税概念,社区团购,网红直播,百货",商业零售(百货、超市),24.40%
600198.SH,"通信传输设备,国产芯片,手游概念,中芯概念,半导体,物联网,北斗导航,2025规划,移动支付,IPv6,云计算,网络游戏,5G概念,车联网,小米概念,智能穿戴",公司是国内具有自主知识产权的通信高科技骨干企业之一。主要从事各类通信网络系统、各类通信终端、计算机软硬件及外部设备、网络管理和信息安全应用软件、微电子等产品开发、生产、销售以及系统集成和网络建设为主要业务的通信制造企业。,37.40%
000571.SZ,"大飞机,综合,新零售",煤炭采掘;物流运输业务;电动车的生产经营;房地产开发;物业管理。,-26.60%
002618.SZ,"电子元件,深圳特区,PCB,OLED,智能穿戴",FPC、COF 柔性封装基板及COF 产品的研发、生产与销售。,-903.60%
000673.SZ,"区块链,大数据,影视概念,影视",以电视剧、电影、综艺节目、影院业务、衍生业务为主的影视文化全产业链的业务体系。,-44.60%
002260.SZ,"壳资源,小家电,无人机",通用航空、电器设备,-21.50%
300325.SZ,"特高压,降解塑料,口罩,军工,创业板综,新能源车,氢能源,大飞机,燃料电池,塑料制品,新材料",线缆用高分子材料的研发、生产、销售。,-10.70%
603032.SH,"一带一路,刀片电池,锂电池,公交","包括道路旅客运输和客运汽车站业务,其他业务包括房屋与仓库的租赁、车辆维修、车辆配件销售及道路货运业务。",60.10%
002502.SZ,"手游概念,影视,影视概念,网络游戏,钛白粉",网络游戏、影视剧、动漫及其相关衍生产品。,-111.20%
000585.SZ,"壳资源,智能电网,东北振兴,其他输变电设备","东北电气发展股份有限公司是一家主要从事输变电设备的研发、设计、生产和销售的中国公司。该公司的主要产品包括电力电容器、封闭母线和高压开关组合电器等。该公司的产品主要应用于电力系统领域,用以改善电力系统的电压质量和提高输电线路的输电能。该公司的产品主要在中国国内市场销售,其中东北地区和华北地区为其主要市场。",21.90%
000613.SZ,"酒店,壳资源",酒店业、房地产开发经营、旅游服务、汽车客运运输、旅游设施开发及服务、文化娱乐服务、体育场地及设施服务、文化艺术事业、国内商业、对外贸易。,133.20%
002175.SZ,"智能电视,虚拟现实,影视概念,超清视频,仪器仪表",从事数显量具量仪及相关产品的生产、销售与研发。,47.80%
002086.SZ,"体外诊断,基因测序,精准医疗,冷链物流,海洋渔业,海洋经济,水产养殖,食品安全","海洋水产品加工和海水养殖,海洋水产品加工业务产品主要包括冻红鱼片、冻鳕鱼片和冻真鳕鱼片等,海水养殖业务主要产品包括海带苗、大菱鲆、牙鲆鱼和海参等产品。",39.60%
600354.SH,"乡村振兴,一带一路,种子,农业种植","为农作物制种和棉花收购加工业务,包括玉米、棉花、西瓜、甜瓜、草类、疏菜、花卉等农作物良种的繁育、生产、加工、检测、包装和销售。",100.80%
002210.SZ,"物流,物联网,纾困概念,电商概念,快递概念,深圳特区,节能环保","供应链管理服务,主要服务包括国际采购执行、国际订单执行、精益物流(VMI·DC)、贸易执行(采购执行·销售执行)、塑化交易与综合供应链服务、标案执行、进出口通关服务、保税物流、大型及特种设备国际供应链管理服务。",100.40%
600615.SH,"长江三角,金属制品",生产镁合金、铝合金制品,-45.90%
600781.SH,"中药生产,创投,长江三角,中药","以中成药生产与销售为主,主要产品包括:各类中西药、印刷产品和仓储服务。",-305.30%
600634.SH,"网络游戏,手游概念,游戏娱乐,长江三角","网络游戏产品的研发和运营,主要包括交互式休闲娱乐游戏软件的开发及游戏产品的运营",60.00%
000971.SZ,"区块链,智慧政务,大数据,边缘计算,云服务(含IDC、CDN),VPN,云计算","公司是一家综合云基础服务集成商,为广大政企行业及互联网客户提供从云到端的一站式综合云基础解决方案与服务集成",-2481.30%
600382.SH,"白酒,新能源车,房地产开发",实业投资发展、贸易、建筑安装、房地产开发以及生产、经营和研制开发水电设备、制药、酿酒。,-24.20%
603555.SH,"新零售,体育产业,服装,石墨烯,网络游戏",贵人鸟品牌运动鞋、运动服装的研发、设计、生产和销售。,70.20%
600555.SH,"长江三角,景区,土地流转,赛马概念","旅游饮食服务业务及景区开发,建设,运营,投资等业务",-22.40%
600221.SH,"航空,油价相关",国际、国内(含港澳)航空客货邮运输业务;与航空运输相关的服务业务;航空旅游;机上供应品;航空器材;航空地面设备及零配件的生产;候机楼服务和经营;保险兼业代理服务(限人身意外险)。,47.50%
600896.SH,"互联医疗,医疗美容,医疗服务",医疗健康服务产业,19.30%
002529.SZ,"其他专用机械,3D打印,新能源车,壳资源,太阳能,新能源",全自动液压设备以及配套设备的研发、设计、生产与销售。复合材料装备、工艺、材料、模具开发、制品设计到复合材料制品生产及销售,-117.50%
600226.SH,"数字货币,独角兽,创投,互联金融,病毒防治,大数据,数字阅读,核能核电,长江三角,影视概念,农药,消毒剂,网络游戏,化工原料","公司属化学原料及化学制品制造业,主要从事兽药、农药原料药及制成品、相关饲料添加剂的生产经营,网络游戏的研发、代理发行及IP与源代码合作",366.70%
000953.SZ,"氮肥,壳资源",尿素、复混肥、液体二氧化碳。,-47.10%
002356.SZ,"创投,互联金融,纾困概念,珠宝首饰,电商概念,超级电容,深圳特区,智能电网,移动支付,电子竞技",珠宝产业链、高端智能制造,19.10%
002219.SZ,"独家药品,医疗服务,中药",医疗服务、药品制造、日化品及保健品,21.30%
600122.SH,"连锁,互联金融,新零售,长江三角,移动支付,智能穿戴",电子计算机网络工程设计、施工、安装;电子计算机及配件、通信设备(不含卫星地面接收设施)开发、研制、生产、销售及售后服务与咨询;摄影器材、金属材料、建筑装饰材料、五金交电(不含助力车)、水暖器材、陶瓷制品、电器机械、汽配、百货、针纺织品、电子辞典(非出版物)、计算器、文教办公用品销售;家电维修;实业投资;投资管理;房地产开发经营;自营和代理各类商品和技术的进出口(但国家限定公司经营和禁止进出口的商品和技术除外)。,22.30%
300278.SZ,"其他通用机械,特斯拉,军工,创业板综,工业4.0,智能机器,无人机","智能型自动化装备系统,包括总装自动化生产线、焊装自动化生产线、涂装自动化生产线等的研发、设计、生产和销售。",-9.50%
000509.SZ,"互联金融,其他建材,成渝特区,壳资源",医疗服务和大宗商品贸易,79.50%
000687.SZ,"国产芯片,网络安全,军民融合,虚拟现实,军工,京津冀,6G概念,雄安新区,航空装备,无人机",从事军事通信相关产品及系统的研发、生产和销售。,0.00%
600290.SH,"创投,其他输变电设备,长江三角,智能电网,节能环保,风能,新能源",高压电器和风电设备行业的生产经营。,39.00%
002321.SZ,"区块链,土地流转,乡村振兴,新零售,鸡肉概念,养殖,食品安全",种鸭、鸡养殖、孵化、禽苗销售、饲料生产、商品鸭、鸡屠宰加工、冻品销售、熟食、羽绒及羽绒制品生产和销售。,37.90%
000536.SZ,"OLED,华为概念,显示器件,3D玻璃",从事新型平板显示器件、液晶显示屏、模组及零部件的研发、设计、生产、销售和售后服务。,68.80%
600191.SH,"乳业,农产品加工",制糖、仓储,48.50%
600146.SH,"区块链,互联金融,电商概念,体育产业,服装,互联医疗","布料贸易,成衣销售",29.10%
002496.SZ,"电商概念,草甘膦,农药,医废处理",化学农药产品的研发、生产及销售,79.20%
600515.SH,"土地流转,一带一路,房地产开发,免税概念",商品零售业、旅游酒店业和房地产业。,104.30%
600090.SH,"医药商业,医疗器械",医药流通行业,-143.50%
300071.SZ,"壳资源,营销服务,华为概念,创业板综",终端营销服务、活动营销服务和其他营销服务。,50.80%
600530.SH,"电商概念,生物医药,养老概念,长江三角",生物制品、保健食品、参制品等保健食品的研制、生产和销售。,4325.10%
000820.SZ,"节能环保,环保",钢铁、有色行业节能环保工程咨询、设计、设备供货和EPC总承包业务,65.30%
600836.SH,"物联网,沪企改革,长江三角,壳资源,上海自贸,包装印刷",印刷业务及房地产业务。,-85.70%
300064.SZ,"非金属新材料,新材料,超级电容,创业板综","人造金刚石及其原辅材料的研发、生产和销售,以及人造金刚石合成设备的研究开发。",-4.80%
002716.SZ,"黄金概念,小金属,其他稀有小金属",生产销售高纯银、电解铅、黄金、高纯铋等有价金属。,87.40%
000669.SZ,"燃气,氢能源,燃料电池,东北振兴,天然气","天然气综合利用业务,环保工程服务业务",110.30%
600385.SH,"珠宝首饰,壳资源,大数据,黄金概念",医药原料药的研发、生产及销售业务。,-52.60%
002470.SZ,"生态农业,复合肥,农业种植,蚂蚁概念",复合肥、控释肥的研发、生产和销售。,45.80%
000587.SZ,"创投,珠宝首饰,电商概念,黄金概念,东北振兴","黄金珠宝业务,融资租赁业务",52.20%
600265.SH,"壳资源,木材加工,稀缺资源",林化产品加工和人造板制造、森林资源培育、木材采运、加工、林业技术研发以及能源贸易。,40.70%
600462.SH,"纾困概念,其他电子器件,独角兽",手机摄像模组制造及销售,-4.10%
002247.SZ,"长江三角,手游概念,游戏娱乐,创投",中高端建筑装饰贴面材料业务和移动游戏广告等文化娱乐业务,172.80%
002072.SZ,其他互联网服务,煤炭贸易业务及房屋租赁业务,-161.60%
600518.SH,"健康中国,医疗器械,中药生产,电商概念,流感,互联医疗,养老概念,中药",中药饮片、药品医疗器械等医药产品的生产、经营、批发销售以及中药材贸易业务等。,-87.60%
002418.SZ,"其他专用机械,超级电容,新能源车,氢能源,燃料电池,石墨烯,锂电池",家电制冷配件和新能源汽车两大业务版块,166.70%
002770.SZ,"乳制品,电商概念,乳业,二胎概念",主要从事乳制品、乳饮料和饮料的研发、生产和销售以及配套的奶牛养殖、繁育和销售,31.80%
002499.SZ,"新能源,环保设备,节能环保,太阳能",袋式除尘器的的研发、生产与销售。,16.00%
002121.SZ,"充电桩,互联金融,物联网,纾困概念,边缘计算,智能家居,新能源车,深圳特区,智能电网,无线充电,锂电池,电气仪表","以能源的发、配、用、储产品业务为核心,集自主研发、生产、销售及服务为一体",-3011.90%
002640.SZ,"电商概念,进口博览,网红直播,电子商务B2B,拼多多概念",跨境出口业务、跨境进口业务,-71.80%
603157.SH,"电商概念,服装,创投","主要於中国从事设计、推广及销售服饰产品业务,专注於大众女性休闲服装。该公司致力於通过九个现有品牌向顾客提供时尚服装,包括La Chapelle、Puella、UlifeStyle、7.Modifier、Candie’s、La Babité、Vogeek、Pote和La Chapelle Kids。",79.70%
002513.SZ,"蝗虫防治,阿兹海默,生态农业,农药",1农化业务:杀菌剂原药及制剂杀虫剂原药及制剂除草剂原药及制剂精细化工中间体的生产和销售。2医药业务:原料药片剂胶囊剂日用化妆品卫生用品类的生产销售自产产品。,101.80%
000523.SZ,"土地流转,工业大麻,日用化学品,粤港自贸,消毒剂,化妆品概念",日化产品的生产,-33.40%
300446.SZ,"磁性材料,创业板综,华为概念,雄安新区",信息记录材料产品的研发、生产、销售,-100.20%
002501.SZ,"铁路基建,军工,苹果概念,金属制品",铝型材及深加工产品的研发、生产与销售业务。,74.30%
002280.SZ,"区块链,电子竞技,独角兽,互联金融,电商概念,虚拟现实,长江三角,租售同权,华为概念,智能穿戴,电子商务B2B,无人机,国产软件",移动终端操作系统、中间件平台及相关应用的研发与运营。,106.10%
002535.SZ,"生物识别,矿山冶金机械,军民融合,页岩气,军工,北斗导航,壳资源,燃料电池,智能机器,油气设服,锂电池",煤矿机械、防爆电器、机器人产品制造、销售、维修及租赁服务;煤炭销售;矿建工程服务和生铁及铁精粉业务。,5.50%
600209.SH,"酒店,区块链,土地流转","主要为酒店经营与管理,网络产品和装饰工程。",-34.60%
000502.SZ,"互联医疗,房地产开发,在线教育,数据中心","项目投资、医疗健康产业投资,股权投资,投资管理,资产管理,医院管理咨询,健康信息咨询;销售医疗器械Ⅰ类Ⅱ类;网络信息技术开发及服务;计算机软件的技术开发及服务,技术咨询。",-126.00%
600695.SH,"创投,其他互联网金融,长江三角",投资管理和资产管理业务,118.70%
002719.SZ,"乳业,食品综合,二胎概念","乳制品的生产和销售,烘焙食品的连锁经营。",31.00%
300495.SZ,"乡村振兴,纾困概念,创业板综,生态农业,园林工程,农业种植,雄安新区,节能环保","生态景观建设,目前主要从事生态景观工程施工,包括生态修复与重构和园林景观两大类别,前者主要包括湿地生态修复与保护、城市湿地公园、面源污染生态拦截与治理、两岸园林生态景观工程等,后者主要为道路绿化、广场景观、地产景观等。",161.30%
600898.SH,消费电子设备,移动智能终端的研发、生产和销售,96.30%
002684.SZ,"创投,军工,新能源车,氢能源,智能电网,燃料电池,锂电池,汽车零部件",各类铅蓄电池产品的研发、生产和销售。,-32.30%
300795.SZ,"股权激励,RCEP概念,大数据,一带一路,电商概念,创业板综,其他休闲服务","会展项目的策划发起、组织承办、推广及运营服务。打造以“自主产权、自主品牌、自主运营”的会展为载体,引领中国中小企业开拓“一带一路”市场的会展服务平台。",18.20%
600091.SH,氯碱,"烧碱、聚氯乙烯树脂、硫酸、盐酸、苯酚、氢氟酸、无水氟化氢、氟化盐产品、液氯、电石、溶解乙炔、高压聚乙烯,高科技生物产品的开发与生产,电子产品的生产和销售,计算机的生产、研制开发,计算机软硬件及外围设备的生产销售,计算机设备的销售、仓储、租赁及其它经营业务,信息产业、网络工程及远程教育服务,环保设备生产及销售。",-6.70%
600671.SH,"病毒防治,中药生产,养老概念,长江三角,中药",生物制药、中成药、西药、保健食品、电子产品、机制纸的制造和销售以及商业贸易和摊位出租。,-75.30%
600301.SH,"贸易,小金属",公司主要从事煤炭贸易业务,-85.10%
002711.SZ,"区块链,互联金融,物流,电商概念,移动支付",钢铁、家居、金融等行业,341.90%
600614.SH,"小金属,军民融合,军工,北斗导航,其他金属新材料,长江三角,节能环保","环保、军工、房地产等业务。军工业务主要是钛及钛合金金属铸造、精密机械加工,代表产品有航空用大尺寸薄壁类铸件、大型筋板类铸件、薄壁筒状结构铸件、舰船用大尺寸复杂结构泵阀等。环保业务是从有色金属尾矿中分离的低品位矿和有色金属冶炼废渣中综合回收铟、锌、锡等多种有色金属,同时回收硫酸、渣料等副产品。",20.30%
000780.SZ,"稀缺资源,煤炭开采洗选,煤化工",煤炭生产、销售。,12.10%
000837.SZ,"机床设备,工业大麻,军工,工业4.0,智能机器,3D打印,工业互联",精密数控机床、塑料机械、精密齿轮件、液压件、液压系统及电梯曳引机。,292.50%
002638.SZ,"在线教育,LED,智慧城市",研发、生产、销售半导体照明产品;提供个性化中小学教育1对1辅导服务,-246.40%
000007.SZ,"纾困概念,口罩,深圳特区,一般物业经营","投资兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资(不含限制项目);矿业投资;矿产品的销售(不含专营、专控、专卖商品);经营进出口业务。2016年2月3日公司经营范围变更为:投资兴办实业(具体项目另行申报);国内商业、物资供销业(不含专营、专控、专卖商品);自有物业租赁;环保产品的技术开发;信息咨询(不含限制项目);项目投资;矿业投资;矿产品的销售(不含专营、专控、专卖商品),经营进出口业务(法律、行政法规、国务院决定禁止的项目除外,限制的项目须取得许可后方可经营);投资金融服务项目并进行投资管理(不得从事证券投资活动;不得以公开方式募集资金开展投资活动;不得从事公开募集基金管理业务);从事其他投资与投资管理",147.50%
600821.SH,"太阳能,新零售,滨海新区,风能,百货",从事商业、各类物资的批发与零售及商品销售收入,323.70%
002575.SZ,"区块链,创投,二胎概念,核能核电,新能源车,娱乐用品",电子电动玩具的生产和销售,101.20%
600311.SH,"煤化工,壳资源,黄金概念,黄金",浙商矿业的黄金开采、选冶、加工与销售。,138.90%
300044.SZ,"手游概念,数据中心,猪肉概念,云计算,军工,创业板综,深圳特区,5G概念,无人机,区块链,智慧城市,字节概念,华为概念,网络游戏,行业应用软件,生物识别,大数据,在线教育,智能机器,人工智能",人工智能算法、软硬件的研发、生产和销售以及大数据中心、轨道交通、智慧城市等新基建的应用场景的解决方案。,-147.00%
600870.SH,贸易,主要从事教育信息化服务业务及农产品贸易业务,-100.50%
600306.SH,"东北振兴,百货","为商品零售,主要业态为百货商场和超市。",31.90%
000410.SZ,"机床设备,工业4.0,东北振兴,智能机器,人工智能,工业互联",机械设备制造、机床制造、机械加工、进出口贸易(持证经营)。,54.70%
002259.SZ,"成渝特区,新能源,天然气,燃气",清洁能源,167.30%
002473.SZ,"小家电",从事水加热生活电器核心零部件及整机的研发、生产和销售。,33.40%
000890.SZ,"长江三角,节能环保,金属制品",公司保理业务主要提供以应收账款融资为主要服务内容的商业保理服务、以及与商业保理有关的咨询业务;公司金属制品业务主要是生产、销售多种用途、不同规格的钢丝、钢丝绳产品。,97.50%
600241.SH,"燃料电池,储能设备,锂电池","以服装、服饰的出口业务及化工原料、矿产品等进口业务,房地产开发及写字间出租及物业管理。",267.30%
600734.SH,"创投,物联网,国家安防,华为概念,5G概念,消费电子设备,智能穿戴,国产软件","一是移动智能终端业务,包括移动智能终端及相关核心部件的研发、设计、生产和销售,涵盖手机(包括普通智能手机、功能机、VR手机、投影手机、三防手机等)和行业终端(包括智能平板、物流终端、执法仪、卫星通讯终端、智能监控系统、智能家居产品、虚拟激光触控等)多个领域;二是移动智能终端配套电池电源业务,包括电池电源的研发、设计、生产和销售;三是物联网周界安防业务,包括防入侵系统、视频监控及物联网安防应用相关软件、硬件产品的研发、生产、销售及相应的技术服务。",-18.90%
300038.SZ,"手游概念,网络安全,物联网,其他软件服务,云计算,移动支付,雄安新区,快手概念,创投,创业板综,百度概念,5G概念,区块链,智慧城市,字节概念,阿里概念,大数据,网红直播,人工智能",数字营销及数据智能服务业务,-494.80%
000707.SZ,"煤化工,纯碱","化工业务,房地产业务,贸易业务",68.40%
000760.SZ,"壳资源,军工,汽车零部件","汽车配件制造、销售;经营本企业自产机电产品,成套设备及相关技术的出口业务。",上一季-1330.6686
600225.SH,"网络安全,数据中心,房地产开发,华为概念,滨海新区,云计算",房地产业务、信息服务业务,3.30%
002766.SZ,"物联网,无人驾驶,纾困概念,北斗导航,胎压监测,深圳特区,车联网,行业应用软件","专业从事CID(Car Informatic Device)系统的研发、生产、销售,并以此为基础向客户提供专业车联网硬件及软件服务和自动驾驶开发",-185.80%
300178.SZ,"互联金融,纾困概念,电商概念,旅游服务,创业板综,深圳特区,免税概念,移动支付,在线旅游",出境旅游、机票分销、旅游金融服务三大业务板块。,-40.90%
600112.SH,"小金属,互联金融,其他输变电设备,壳资源,智能电网,风能,新能源",电气设备制造、矿产资源开发及金融三大业务,52.50%
300029.SZ,"蓝宝石,创业板综,长江三角,壳资源,太阳能,新能源",主要从事单晶硅生长炉、单晶硅切割机、单晶硅切方滚磨机等的生产和销售。,3.10%
002122.SZ,"铁路基建,创投,大数据,壳资源,基础件,风能",轴承及机床的研发、制造和销售,116.20%
002113.SZ,"网络游戏,游戏娱乐",移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。,-40.90%
000611.SZ,"大数据,小金属,其他纺织","工业自动化控制设备,测试仪器,电子计算机及电子元器件的制造,纺织及相关业务。",-5.30%
002354.SZ,"手游概念,独角兽,互联金融,股权激励,游戏娱乐,在线教育,网络游戏,电子竞技",主要业务包括游戏业务、移动应用分发业务、广告营销业务与影视娱乐业务。,116.80%
002052.SZ,"智能电视,北斗导航,视听器材,壳资源,影视概念,深圳特区,国家安防,广电,小米概念,国产软件","数字电视接收设备的研制和生产,网络、计算机、通讯、广电设备、软件研制生产及其系统集成,以及LED 电子显示屏的生产经营。",30.70%
002058.SZ,"创投,长江三角,壳资源,智能电网,电气仪表",从事压力变送器、电磁流量计、温度仪表等工业自动化仪器仪表生产销售和工程自动化控制系统、仪表集成服务。,81.80%
002586.SZ,"海绵城市,影视概念,水利建设,雄安新区",海堤工程、城市防洪工程、河道工程、水库工程、城市防洪工程及其他水利工程,124.30%
000752.SZ,啤酒,啤酒生产与销售,162.00%
600291.SH,"保险","公司的业务主要集中在子公司天安财险。天安财险保险主营业务为通过向企业、个人等客户销售保险产品,获取保费收入;取得保费收入后,根据监管规定和自身控制风险的要求,对于部分已承保风险进行再保险;通过对未来赔付责任评估提取保险责任准备金,以满足未来赔付的要求,同时将保险资产进行投资,从而通过承保及投资获取利润。",-103.20%
300859.SZ,"旅游服务,次新股,创业板综",旅游资源的开发经营。主营业务包括旅游客运、高山索道观光、游船观光、温泉酒店、旅行社等其他服务。,51.80%
600506.SH,"农业种植,种植业,土地流转",主要从事以库尔勒香梨为主的果品种植、加工和销售,-193.90%
002147.SZ,"长江三角,房地产开发,智能机器,风能",房地产开发和商业经营,75.60%
600145.SH,"成渝特区,壳资源,贸易","自产自销陶瓷制品、复合材料浴缸、塑料制品、搪瓷制品、销售普通机械、仪器仪表、装饰材料,五金配件、厨房设备。",-227.50%
600289.SH,"手游概念,网络安全,智慧城市,国家安防,东北振兴,通信配套服务,5G概念",电信运营商以及广电、能源、政府、金融、铁路等行业提供信息化支撑系统建设与服务,35.70%
600485.SH,"5G概念,医疗服务",技术开发、技术咨询、技术服务;销售开发后的产品、电讯器材、化工、计算机软硬件及外围设备、机械电器设备、仪器仪表、建筑材料(未取得专项许可的项目除外),-79.10%
600599.SH,"融资借贷,互联金融",烟花销售及焰火燃放、金融或理财产品,347.60%
002076.SZ,"独角兽,病毒防治,创投,LED,电商概念,新能源车,节能环保,新能源,新材料,锂电池",节能灯及配套电子镇流器、紫外线光源及配套电子镇流器、汽车氙气大灯及配套电子镇流器、陶瓷金卤灯及配套电子镇流器以及LED、台灯、空气净化系列产品,-5.50%
002323.SZ,"长江三角,一带一路,钢结构,太阳能",大型金属屋(墙)面围护系统和分布式光伏屋面系统工程的设计、制作、安装和服务,-178.00%
600319.SH,"其他化学制品,电商概念,化工原料,新材料","氯化聚乙烯,烧碱等化工产品及其延伸产品的生产、加工、销售、研究开发和综合技术服务。",-4.70%
603389.SH,"家具制造,创投","产品研发设计、生产制造、销售服务及家居文化研究为一体,主要从事中高端海派艺术家具产品的研发、生产与销售",15.40%
000792.SZ,"钾肥,稀缺资源,化工原料,锂电池",氯化钾的开发、生产和销售;盐湖资源综合开发利用;其他业务包括水泥生产、商贸连锁业务以及酒店业务,2.00%
000806.SZ,"创投,物联网,军民融合,其他输变电设备,免疫治疗,智能电网,华为概念",输配电、控制设备制造及电子信息业。,70.90%
000981.SZ,"汽车零部件,新能源车",从事房地产业和高端制造业,47.30%
000670.SZ,"国产芯片,半导体,军民融合,半导体材料,车联网,智能穿戴","SoC芯片设计,移动互联终端、智能家居、视频监控、运动相机等应用的智能处理器及相关软件研发、设计、销售,并提供硬件设计和软件应用的整体解决方案",1268.60%
000663.SZ,"土地流转,木材加工,稀缺资源,养老概念","木(竹)材采运、加工,林化产品制造、定制家具及装饰设计",153.20%
600652.SH,"手游概念,虚拟现实,长江三角,游戏娱乐,网红直播,网络游戏,电子竞技","从事网络游戏的发行与研发,以及游戏媒体资讯平台的运营",-28.80%
600766.SH,"壳资源,黄金概念,黄金",托管乳山市金海矿业、本溪小套峪矿业,4104.20%
600239.SH,"养老概念,房地产开发",房地产开发与经营、商品房销售、房屋租赁;基础设施建设投资、土地开发。,-23.00%
000835.SZ,"成渝特区,游戏娱乐,网络游戏","致力于通过多元化、多渠道的发展,实现公司以IP为导向的动漫形象和动漫游戏作品的收益最大化。",-215.40%
002256.SZ,"充电桩,降解塑料,深圳特区,太阳能,新能源,涂料涂漆,锂电池",新能源、精细化工、生物降解材料三大类业务,-4.70%
600242.SH,"其他互联网服务,大数据,字节概念,网红直播",以搜索营销为核心的大数据智能营销软件和服务提供商。,64.20%
000609.SZ,"铁路基建,创投,互联金融,房地产开发,在线教育","以直接投资业务为主,包括直接股权投资业务以及房地产综合开发投资业务等",-59.40%
600890.SH,房地产开发,投资性房产的销售及自有物业的出租,51.20%
600595.SH,"基本金属,超导概念,铝",铝加工产品、火力发电、煤炭的生产和销售,258.20%
000017.SZ,"共享经济,新零售,智能家居,深圳特区,其他交运设备,黄金概念,锂电池",自行车业务、锂电池材料业务、珠宝黄金业务。自行车业务包括生产、装配、采购、销售自行车及电动自行车等,69.40%
000972.SZ,"医疗器械,健康中国,农产品加工",工业(番茄制品的加工、销售)、国际(国内)贸易及房地产开发等业务。,-53.20%
002445.SZ,"独角兽,海工装备,虚拟现实,影视概念,金属制品","工业金属管件和压力容器制造,电视剧制作、发行及其衍生业务",114.00%
600084.SH,"农业种植,参股期货,乡村振兴,葡萄酒",葡萄酒生产销售、国际经济技术合作、农业综合开发等。,140.80%
000982.SZ,"壳资源,锂电池,其他纺织","羊毛、亚麻领域,产品销售业务包含羊绒、羊毛、亚麻及其混纺领域的多元系列产品。",234.00%
600280.SH,"电商概念,新零售,长江三角,百货","百货零售业,是一家以商品零售为主,集购物、餐饮、休闲、娱乐为一体的大型现代购物中心,主营业务主要是百货、食品、针织服装、五金交电化工等商品的零售、批发等。",91.50%
603996.SH,"消费电子设备,工业4.0,OLED,智能电视",智能电视、商用显示器、笔记本电脑、平板电脑等智能电子产品的研发、制造和销售。,-56.80%
